source_id,geo,country,name,url,source_class,primary_language,official,automotive_scope,http_status,final_url,page_title,canonical_url,rss_or_atom,sitemap,robots_status,access_method,poll_interval_minutes,date_detectable,author_detectable,image_rights,legal_notes,reliability_score,automation_eligibility,priority,decision,audit_note,last_checked_utc
GE-01,GE,Georgia,"Revenue Service of Georgia",https://rs.ge/,A,ka;en,YES,customs;transit,200,https://rs.ge/,"www.rs.ge - შემოსავლების სამსახური",UNKNOWN,NONE,UNKNOWN,404,HTML,15,PENDING,PENDING,UNKNOWN,"Official Georgian revenue/customs authority; presumed all-rights-reserved; no sitemap discovered (robots.txt returned 404)",90,PARTIAL,HIGH,APPROVE_MVP,"200 OK on homepage; robots.txt itself 404 (no crawl directives found); customs/transit topic remains a mandatory-manual sensitive category for publication regardless of source inclusion",2026-08-30T16:32:52+00:00
GE-02,GE,Georgia,"Geostat",https://www.geostat.ge/,A,ka;en,YES,statistics;trade,200,https://www.geostat.ge/ka,"საქართველოს სტატისტიკის ეროვნული სამსახური",UNKNOWN,NONE,UNKNOWN,200,HTML,15,PENDING,PENDING,UNKNOWN,"Official national statistics office; open-data reuse conditions not verified per-dataset at this stage",88,PARTIAL,HIGH,APPROVE_MVP,"200 OK, redirected to the /ka locale; no sitemap found in probe; strong official statistics source for GE trade/registration data",2026-08-30T16:32:52+00:00
GE-03,GE,Georgia,"Ministry of Economy Georgia",https://www.economy.ge/,A,ka;en,YES,transport;economy,200,https://www.economy.ge/,"საქართველოს ეკონომიკისა და მდგრადი განვითარების სამინისტრო",UNKNOWN,NONE,UNKNOWN,404,HTML,15,PENDING,PENDING,UNKNOWN,"Official ministry; presumed all-rights-reserved; robots.txt returned 404",87,PARTIAL,HIGH,APPROVE_MVP,"200 OK on homepage; no sitemap discovered; official economy/transport ministry, directly relevant to GE-side logistics policy",2026-08-30T16:32:53+00:00
GE-04,GE,Georgia,"BM.GE",https://bm.ge/,B,ka;en,NO,business;transport,403,https://bm.ge/,"Just a moment...",UNKNOWN,NONE,UNKNOWN,403,BROWSER_LAST_RESORT,25,PENDING,PENDING,UNKNOWN,"Cloudflare challenge blocked the automated GET at probe time; presumed standard copyright",65,NO,HIGH,APPROVE_LATER,"403 Cloudflare challenge at probe time; business/transport relevance but needs an alternate access method",2026-08-30T16:32:50+00:00
GE-05,GE,Georgia,"Agenda.ge",https://agenda.ge/,B,en,NO,official;economy,ERROR,UNKNOWN,UNKNOWN,UNKNOWN,NONE,UNKNOWN,ERROR,BROWSER_LAST_RESORT,25,PENDING,PENDING,UNKNOWN,"DNS resolution failed at probe time ('Name or service not known'); domain status unverified",60,PENDING,HIGH,PENDING,"DNS lookup failure for agenda.ge at probe time; could be a transient network/DNS issue or a genuinely inactive domain; must be re-probed before any decision, kept in the registry rather than deleted",2026-08-30T16:32:50+00:00
GE-06,GE,Georgia,"Commersant Georgia",https://commersant.ge/,B,ka,NO,business;auto,200,https://commersant.ge/,"Commersant.ge",UNKNOWN,NONE,https://commersant.ge/sitemap.xml,200,SITEMAP,25,YES,PENDING,UNKNOWN,"Business media outlet; presumed standard copyright",68,YES,HIGH,APPROVE_MVP,"200 OK with a sitemap; direct business/auto relevance for the Georgia corridor",2026-08-30T16:32:51+00:00
GE-07,GE,Georgia,"GBC Georgia",https://gbc.ge/,B,ka,NO,business;transport,403,https://gbc.ge/,"Just a moment...",UNKNOWN,NONE,UNKNOWN,403,BROWSER_LAST_RESORT,25,PENDING,PENDING,UNKNOWN,"Cloudflare challenge blocked the automated GET at probe time; presumed standard copyright",63,NO,HIGH,APPROVE_LATER,"403 Cloudflare challenge at probe time",2026-08-30T16:32:50+00:00
GE-08,GE,Georgia,"1TV Georgia",https://1tv.ge/,B,ka;en,NO,national;transport,403,https://1tv.ge/,"Just a moment...",UNKNOWN,NONE,UNKNOWN,404,BROWSER_LAST_RESORT,25,PENDING,PENDING,UNKNOWN,"Cloudflare challenge blocked the automated GET at probe time; robots.txt itself returned 404; presumed standard broadcast copyright",65,NO,HIGH,APPROVE_LATER,"403 challenge on the page GET and 404 on robots.txt at probe time",2026-08-30T16:32:50+00:00
GE-09,GE,Georgia,"Netgazeti",https://netgazeti.ge/,B,ka,NO,national;infrastructure,200,https://netgazeti.ge/,"Homepage - Netgazeti",https://netgazeti.ge/,https://netgazeti.ge/feed/;https://netgazeti.ge/comments/feed/,https://netgazeti.ge/sitemap_index.xml,200,RSS,25,YES,PENDING,UNKNOWN,"Independent Georgian news outlet; presumed standard copyright with attribution norms",70,YES,HIGH,APPROVE_MVP,"200 OK with a working RSS feed and sitemap index; strongest automation-ready GE media source",2026-08-30T16:32:52+00:00
GE-10,GE,Georgia,"APM Terminals Poti",https://www.apmterminals.com/en/poti,A,en,YES,port;containers,200,https://www.apmterminals.com/en/poti,"Poti Port Georgia - APM Terminals",UNKNOWN,NONE,UNKNOWN,200,HTML,15,PENDING,PENDING,UNKNOWN,"Corporate port operator; presumed all-rights-reserved corporate content; directly relevant to logistics/container topics",82,PARTIAL,HIGH,APPROVE_LATER,"200 OK; no RSS/sitemap found; valuable logistics source but needs custom HTML parsing; deferred past the 5-source GE MVP slate, which already covers 3 official bodies plus 2 automatable media outlets",2026-08-30T16:32:54+00:00
KR-01,KR,South Korea,"MOTIE Korea",https://www.motie.go.kr/,A,ko;en,YES,industry;export,200,https://www.motir.go.kr/,"산업통상부",UNKNOWN,NONE,https://www.motir.go.kr/sitemap.xml,200,PENDING,15,PENDING,PENDING,UNKNOWN,"Official ministry; presumed all-rights-reserved; the requested motie.go.kr domain redirected to a different-looking domain (motir.go.kr) at probe time",70,PENDING,HIGH,PENDING,"Probe followed a redirect from motie.go.kr to motir.go.kr; this domain change must be manually verified as a genuine official alternate/mirror domain, not a mistyped or spoofed one, before any ingestion is configured",2026-08-30T16:32:53+00:00
KR-02,KR,South Korea,"Korea Customs Service",https://www.customs.go.kr/,A,ko;en,YES,customs;export,200,https://www.customs.go.kr/,"관세청",UNKNOWN,NONE,UNKNOWN,200,HTML,15,PENDING,PENDING,UNKNOWN,"Official customs authority; presumed all-rights-reserved; no sitemap discovered",90,PARTIAL,HIGH,APPROVE_MVP,"200 OK on homepage; strongest official KR source in the pool; customs remains mandatory-manual for publication regardless of source inclusion",2026-08-30T16:32:52+00:00
KR-03,KR,South Korea,"KAMA",https://www.kama.or.kr/,A,ko;en,YES,statistics;industry,200,https://www.kama.or.kr/MainController,UNKNOWN,UNKNOWN,NONE,UNKNOWN,404,HTML,15,PENDING,PENDING,UNKNOWN,"Official industry association; page served with a legacy EUC-KR encoding, title not reliably decoded at probe time; presumed standard copyright",75,PARTIAL,HIGH,APPROVE_LATER,"200 OK but non-UTF-8 page encoding complicates automated title/content extraction; requires a charset-aware parser before ingestion",2026-08-30T16:32:54+00:00
KR-04,KR,South Korea,"Yonhap News",https://en.yna.co.kr/,B,en,NO,national;export,200,https://en.yna.co.kr/,"Yonhap News Agency",https://en.yna.co.kr/,NONE,https://en.yna.co.kr/news-sitemap.xml;https://en.yna.co.kr/photo-sitemap.xml,200,SITEMAP,25,YES,PENDING,UNKNOWN,"National news agency (English edition); presumed standard wire-copyright with attribution required",82,YES,HIGH,APPROVE_MVP,"200 OK with a dedicated news-sitemap; South Korea's principal national news agency, strong candidate",2026-08-30T16:32:52+00:00
KR-05,KR,South Korea,"The Korea Herald",https://www.koreaherald.com/,B,en,NO,business;auto,200,https://www.koreaherald.com/,"The Korea Herald",https://www.koreaherald.com/,https://www.koreaherald.com/rss/newsAll,https://www.koreaherald.com/portal/google/sectionsitemap;https://www.koreaherald.com/sitemap/latest-articles,200,RSS,25,YES,PENDING,UNKNOWN,"Major English-language Korean daily; presumed standard copyright with attribution norms",78,YES,HIGH,APPROVE_MVP,"200 OK with a working RSS feed and multiple sitemaps; best-automatable KR media source in the pool",2026-08-30T16:32:53+00:00
KR-06,KR,South Korea,"The Korea Times",https://www.koreatimes.co.kr/,B,en,NO,business;auto,200,https://www.koreatimes.co.kr/,"The Korea Times",https://www.koreatimes.co.kr,https://feed.koreatimes.co.kr/k/allnews.xml,https://www.koreatimes.co.kr/sitemap/sitemap.xml,200,RSS,25,YES,PENDING,UNKNOWN,"Major English-language Korean daily; presumed standard copyright with attribution norms",78,YES,HIGH,APPROVE_MVP,"200 OK with RSS and sitemap; second strong automatable KR media source",2026-08-30T16:32:52+00:00
KR-07,KR,South Korea,"Maeil Business Newspaper",https://www.mk.co.kr/,B,ko;en,NO,business;industry,200,https://www.mk.co.kr/,"매일경제",https://www.mk.co.kr/,https://www.mk.co.kr/rss/30000001/;https://www.mk.co.kr/rss/40300001/,https://www.mk.co.kr/sitemap/sections/;https://www.mk.co.kr/sitemap/latest-articles/,200,RSS,25,YES,PENDING,UNKNOWN,"Major Korean-language business daily; presumed standard copyright; Korean-only content increases translation/fact-check workload",73,YES,HIGH,APPROVE_LATER,"200 OK with numerous sectioned RSS feeds; strong source but Korean-only content adds workload compared with the five chosen KR MVP sources",2026-08-30T16:32:52+00:00
KR-08,KR,South Korea,"Korea JoongAng Daily",https://koreajoongangdaily.joins.com/,B,en,NO,business;auto,200,https://www.koreajoongangdaily.com/,"Korea JoongAng Daily | Korean news in English",https://www.koreajoongangdaily.com/,NONE,https://www.koreajoongangdaily.com/sitemapindex.xml,200,SITEMAP,25,YES,PENDING,UNKNOWN,"Major English-language Korean daily; presumed standard copyright; requested URL redirected to a different domain (koreajoongangdaily.com)",74,PARTIAL,HIGH,APPROVE_LATER,"200 OK after a domain redirect from the originally listed joins.com URL to koreajoongangdaily.com; the redirect target should be re-confirmed before configuring ingestion",2026-08-30T16:32:53+00:00
KR-09,KR,South Korea,"KOTRA",https://www.kotra.or.kr/,A,ko;en,YES,trade;export,200,https://www.kotra.or.kr/index.do,"KOTRA 무역투자24",UNKNOWN,NONE,UNKNOWN,200,HTML,15,PENDING,PENDING,UNKNOWN,"Official trade-investment promotion agency; presumed standard copyright on publications",85,PARTIAL,HIGH,APPROVE_MVP,"200 OK; official trade agency directly relevant to export/logistics reporting; no sitemap found in probe",2026-08-30T16:32:55+00:00
KR-10,KR,South Korea,"Hyundai Motor Group Newsroom",https://www.hyundaimotorgroup.com/news/,A,ko;en,YES,manufacturer;technology,404,https://www.hyundaimotorgroup.com/en/news/,UNKNOWN,UNKNOWN,NONE,https://www.hyundaimotorgroup.com/sitemap-index.xml;https://www.hyundaimotorgroup.com/en/sitemap.xml,200,SITEMAP,15,PENDING,PENDING,UNKNOWN,"Official manufacturer newsroom; presumed all-rights-reserved on press content and images; the requested /news/ path returned 404 though it redirected to /en/news/",78,PARTIAL,HIGH,REPLACE,"404 on the probed news path at probe time; a sitemap-index.xml exists and should be used to find the correct current newsroom URL before this source is scheduled",2026-08-30T16:32:53+00:00
JP-01,JP,Japan,"METI Japan",https://www.meti.go.jp/,A,ja;en,YES,industry;export,403,https://www.meti.go.jp/,"指定されたページまたはファイルは存在しません（METI/経済産業省）",UNKNOWN,NONE,UNKNOWN,403,BROWSER_LAST_RESORT,15,PENDING,PENDING,UNKNOWN,"Official ministry; presumed all-rights-reserved; 403 returned at probe time on both the page and robots.txt",88,NO,MEDIUM,MANUAL_ONLY,"403 on both the page and robots.txt at probe time; industry/export ministry content is high-value but currently blocked, and export-policy news is treated conservatively as a sensitive category",2026-08-30T16:32:52+00:00
JP-02,JP,Japan,"JAMA",https://www.jama.or.jp/,A,ja;en,YES,statistics;industry,200,https://www.jama.or.jp/,"JAMA - 一般社団法人日本自動車工業会",UNKNOWN,NONE,UNKNOWN,404,HTML,15,PENDING,PENDING,UNKNOWN,"Official industry association; presumed standard copyright on statistics publications",84,PARTIAL,MEDIUM,APPROVE_LATER,"200 OK; robots.txt 404, no sitemap found; strong JP statistics source for a later phase",2026-08-30T16:32:54+00:00
JP-03,JP,Japan,"Japan Customs",https://www.customs.go.jp/,A,ja;en,YES,customs;export,200,https://www.customs.go.jp/,UNKNOWN,UNKNOWN,NONE,https://www.customs.go.jp/sitemap_00.xml,200,SITEMAP,15,PENDING,PENDING,UNKNOWN,"Official customs authority; presumed all-rights-reserved; the page title rendered with encoding artifacts (mojibake) at probe time",88,PARTIAL,MEDIUM,MANUAL_ONLY,"200 OK with a sitemap, but a title-decoding issue was observed at probe time; customs is a mandatory-manual sensitive category in any case",2026-08-30T16:32:54+00:00
JP-04,JP,Japan,"JETRO",https://www.jetro.go.jp/,A,ja;en,YES,trade;export,200,https://www.jetro.go.jp/,"ジェトロ（日本貿易振興機構） | ジェトロ",https://www.jetro.go.jp/,NONE,UNKNOWN,200,HTML,15,PENDING,PENDING,UNKNOWN,"Official trade promotion organization; presumed standard copyright on publications",86,PARTIAL,MEDIUM,APPROVE_LATER,"200 OK; no sitemap found in probe; strong official JP trade source for a later phase",2026-08-30T16:32:52+00:00
JP-05,JP,Japan,"Nikkei Asia",https://asia.nikkei.com/,B,en,NO,business;auto,200,https://asia.nikkei.com/,"Nikkei Asia - Business, Politics, Economy and Tech News & Analysis",UNKNOWN,NONE,https://asia.nikkei.com/sitemap.xml;https://asia.nikkei.com/sitemap_news.xml,200,SITEMAP,25,YES,PENDING,UNKNOWN,"Major regional business daily; likely metered/subscription content beyond headlines; presumed standard copyright",80,PARTIAL,MEDIUM,APPROVE_LATER,"200 OK with a news-sitemap; headline-level access confirmed only, full-article paywall status not verified at this stage",2026-08-30T16:32:53+00:00
JP-06,JP,Japan,"The Japan Times",https://www.japantimes.co.jp/,B,en,NO,national;auto,200,https://www.japantimes.co.jp/,"The Japan Times - News On Japan, Business News, Opinion, Sports, Entertainment And More",https://www.japantimes.co.jp,NONE,UNKNOWN,200,HTML,25,YES,PENDING,UNKNOWN,"Major English-language Japanese daily; presumed standard copyright",76,PARTIAL,MEDIUM,APPROVE_LATER,"200 OK; no sitemap/RSS found in probe; needs an HTML-only ingestion design",2026-08-30T16:32:53+00:00
JP-07,JP,Japan,"NHK World Japan",https://www3.nhk.or.jp/nhkworld/,B,en,NO,national;industry,ERROR,UNKNOWN,UNKNOWN,UNKNOWN,NONE,https://www3.nhk.or.jp/news/sitemap-news-index.xml;https://www3.nhk.or.jp/nhkworld/sitemap.xml,200,PENDING,25,PENDING,PENDING,UNKNOWN,"Public broadcaster; presumed standard/public-service copyright; the page GET timed out although robots.txt itself was reachable with two sitemaps listed",79,PENDING,MEDIUM,PENDING,"Read timeout on the page GET at probe time while robots.txt returned 200 with two sitemap references; needs a re-probe with a longer timeout before any decision",2026-08-30T16:33:03+00:00
JP-08,JP,Japan,"Kyodo News",https://english.kyodonews.net/,B,en,NO,national;auto,200,https://english.kyodonews.net/,"Japan Wire by Kyodo News",https://english.kyodonews.net/,NONE,UNKNOWN,200,HTML,25,YES,PENDING,UNKNOWN,"National news agency (English edition); presumed standard wire-copyright with attribution required",80,PARTIAL,MEDIUM,APPROVE_LATER,"200 OK; no sitemap/RSS found in probe",2026-08-30T16:32:56+00:00
JP-09,JP,Japan,"Toyota Global Newsroom",https://global.toyota/en/newsroom/,A,ja;en,YES,manufacturer;recalls,200,https://global.toyota/en/newsroom/,"Global Newsroom | Toyota Motor Corporation Official Global Website",https://global.toyota/en/newsroom/index.html,NONE,UNKNOWN,404,HTML,15,PENDING,PENDING,UNKNOWN,"Official manufacturer newsroom; presumed all-rights-reserved on press content and images",84,PARTIAL,MEDIUM,APPROVE_LATER,"200 OK; robots.txt 404, no sitemap found; recall/safety content from this source must still go through the mandatory-manual safety category regardless of automation eligibility",2026-08-30T16:32:54+00:00
JP-10,JP,Japan,"Nissan Global Newsroom",https://global.nissannews.com/,A,ja;en,YES,manufacturer;recalls,202,https://global.nissannews.com/,UNKNOWN,UNKNOWN,NONE,UNKNOWN,202,PENDING,15,PENDING,PENDING,UNKNOWN,"Official manufacturer newsroom; presumed all-rights-reserved; an unusual HTTP 202 (Accepted) response was observed at probe time instead of a normal 200",80,PENDING,MEDIUM,PENDING,"HTTP 202 is not a typical static-page response and needs a re-probe to confirm normal availability before scheduling; recall content is mandatory-manual regardless",2026-08-30T16:32:53+00:00
US-01,US,United States,"US Department of Commerce",https://www.commerce.gov/,A,en,YES,trade;export,403,https://www.commerce.gov/,"Just a moment...",UNKNOWN,NONE,UNKNOWN,403,BROWSER_LAST_RESORT,15,PENDING,PENDING,UNKNOWN,"Official federal department; US federal works are commonly public domain but this is not verified per-page; a Cloudflare-style challenge blocked the automated GET",90,NO,MEDIUM,MANUAL_ONLY,"403 challenge page at probe time on both the page and robots.txt; trade/export policy content is treated as sensitive",2026-08-30T16:32:53+00:00
US-02,US,United States,"US Customs and Border Protection",https://www.cbp.gov/,A,en,YES,customs;export,200,https://www.cbp.gov/,"U.S. Customs and Border Protection | U.S. Customs and Border Protection",https://www.cbp.gov/,NONE,UNKNOWN,200,HTML,15,PENDING,PENDING,UNKNOWN,"Official federal agency; US federal-government works are typically public domain but this is not verified per-page at this stage",92,PARTIAL,MEDIUM,MANUAL_ONLY,"200 OK; no sitemap found; customs is a mandatory-manual sensitive category regardless of reachability",2026-08-30T16:32:53+00:00
US-03,US,United States,"NHTSA",https://www.nhtsa.gov/,A,en,YES,safety;recalls,403,https://www.nhtsa.gov/,"Access Denied",UNKNOWN,NONE,UNKNOWN,403,BROWSER_LAST_RESORT,15,PENDING,PENDING,UNKNOWN,"Official federal safety regulator; presumed typical US-government status, not verified; blocked at probe time",92,NO,MEDIUM,MANUAL_ONLY,"403 Access Denied at probe time on the page and robots.txt; safety/recalls is a mandatory-manual sensitive category and the single most authoritative US recall-data source",2026-08-30T16:32:53+00:00
US-04,US,United States,"US Department of Transportation",https://www.transportation.gov/,A,en,YES,transport;rules,403,https://www.transportation.gov/,"Access Denied",UNKNOWN,NONE,UNKNOWN,403,BROWSER_LAST_RESORT,15,PENDING,PENDING,UNKNOWN,"Official federal department; presumed typical US-government status, not verified; blocked at probe time",88,NO,MEDIUM,MANUAL_ONLY,"403 Access Denied at probe time on the page and robots.txt",2026-08-30T16:32:53+00:00
US-05,US,United States,"Automotive News",https://www.autonews.com/,B,en,NO,industry;market,403,https://www.autonews.com/,"Access Denied",UNKNOWN,NONE,UNKNOWN,403,BROWSER_LAST_RESORT,25,PENDING,PENDING,UNKNOWN,"Trade publication, subscription-oriented; presumed standard copyright; blocked at probe time",76,NO,MEDIUM,APPROVE_LATER,"403 Access Denied at probe time; also likely metered/subscription content which must not be bypassed",2026-08-30T16:32:53+00:00
US-06,US,United States,"Reuters Autos and Transportation",https://www.reuters.com/business/autos-transportation/,B,en,NO,business;auto,401,https://www.reuters.com/business/autos-transportation/,"reuters.com",UNKNOWN,NONE,https://www.reuters.com/arc/outboundfeeds/sitemap-index/?outputType=xml;https://www.reuters.com/arc/outboundfeeds/news-sitemap-index/?outputType=xml,200,REJECTED_PAYWALL,25,PENDING,PENDING,UNKNOWN,"Major global wire service; presumed standard copyright with strict licensing; HTTP 401 returned on the read-only GET, consistent with an access/login wall",78,NO,MEDIUM,REJECT,"401 Unauthorized on a read-only GET is treated as a login/paywall signal; the task explicitly forbids bypassing login/paywall, so this exact endpoint is rejected rather than scheduled, even though robots.txt lists many sitemaps",2026-08-30T16:32:53+00:00
US-07,US,United States,"Car and Driver News",https://www.caranddriver.com/news/,C,en,NO,models;safety,200,https://www.caranddriver.com/news/,"Car News, Automotive Trends, and New Model Announcements",https://www.caranddriver.com/news/,/rss/news.xml;/rss/all.xml,https://www.caranddriver.com/sitemap_index.xml;https://www.caranddriver.com/sitemap_google_news.xml,200,RSS,50,YES,PENDING,UNKNOWN,"Consumer automotive media; presumed standard copyright",66,YES,MEDIUM,APPROVE_LATER,"200 OK with RSS and a Google News sitemap; good automation-readiness for a later phase",2026-08-30T16:32:53+00:00
US-08,US,United States,"Motor1 News",https://www.motor1.com/news/,C,en,NO,models;industry,403,https://www.motor1.com/news/,"403 Forbidden",UNKNOWN,NONE,https://www.motor1.com/sitemaps/www/sitemap.xml,200,PENDING,50,PENDING,PENDING,UNKNOWN,"Consumer automotive media; presumed standard copyright; the specific /news/ path was blocked though robots.txt was reachable and lists a sitemap",62,NO,MEDIUM,APPROVE_LATER,"403 Forbidden on the requested path at probe time despite a working robots.txt/sitemap; needs a different entry URL or access method before scheduling",2026-08-30T16:32:53+00:00
US-09,US,United States,"Kelley Blue Book News",https://www.kbb.com/car-news/,C,en,NO,market;ownership,200,https://www.kbb.com/car-news/,"Car News - Kelley Blue Book",https://www.kbb.com/car-news/,https://www.kbb.com/feed/;https://www.kbb.com/comments/feed/,https://www.kbb.com/sitemap-index.xml,200,RSS,50,YES,PENDING,UNKNOWN,"Consumer automotive market media; presumed standard copyright",65,YES,MEDIUM,APPROVE_LATER,"200 OK with RSS and a sitemap index; good automation-readiness for a later phase",2026-08-30T16:33:01+00:00
US-10,US,United States,"Edmunds Car News",https://www.edmunds.com/car-news/,C,en,NO,market;models,200,https://www.edmunds.com/car-news/,"Car News - Latest Auto News, First Looks and First Drives | Edmunds",UNKNOWN,NONE,UNKNOWN,200,HTML,50,YES,PENDING,UNKNOWN,"Consumer automotive market media; presumed standard copyright",64,PARTIAL,MEDIUM,APPROVE_LATER,"200 OK; no RSS/sitemap found in probe; needs an HTML-only ingestion design",2026-08-30T16:32:53+00:00
EU-01,EU,"European Union (regional institution)","European Commission",https://commission.europa.eu/,A,multi,YES,law;trade,200,https://commission.europa.eu/select-language?destination=/node/1,"Language selection | European Commission",https://commission.europa.eu/index_en,NONE,https://commission.europa.eu/sitemap.xml,200,SITEMAP,15,PENDING,PENDING,UNKNOWN,"Official EU institution; EU document reuse conditions vary by document type and are not verified per-page here; law/trade content is a sensitive category",92,PARTIAL,MEDIUM,APPROVE_LATER,"200 OK after a language-selection redirect; sitemap present; multi-language canonical handling needs explicit design before ingestion",2026-08-30T16:32:54+00:00
